[2026-02-21 04:38:13] USER=admin | ACAO=LOGIN_OK |  | IP=45.164.118.25
[2026-02-21 05:01:55] USER=admin | ACAO=LOGIN_OK |  | IP=45.164.118.25
[2026-02-21 05:05:10] USER=admin | ACAO=LOGIN_OK |  | IP=45.164.118.25
[2026-02-21 05:05:11] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:05:41] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:05:45] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:06:12] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:06:25] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:06:38] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:06:44] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:07:06] USER=admin | ACAO=USUARIO_CRIAR | novo=ruan role=user | IP=45.164.118.25
[2026-02-21 05:07:14] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:07:36] USER=admin | ACAO=LOGOUT |  | IP=45.164.118.25
[2026-02-21 05:07:41] USER=ruan | ACAO=LOGIN_OK |  | IP=45.164.118.25
[2026-02-21 05:07:42] USER=ruan | ACAO=LISTAR_INSTANCIAS | total=4 | IP=45.164.118.25
[2026-02-21 05:07:45] USER=ruan | ACAO=RECONECTAR | qr=nenhum | IP=45.164.118.25
[2026-02-21 05:08:12] USER=ruan | ACAO=LISTAR_INSTANCIAS | total=4 | IP=45.164.118.25
[2026-02-21 05:08:42] USER=ruan | ACAO=LISTAR_INSTANCIAS | total=4 | IP=45.164.118.25
[2026-02-21 05:08:46] USER=ruan | ACAO=RECONECTAR | qr=ok | IP=45.164.118.25
[2026-02-21 05:09:12] USER=ruan | ACAO=LISTAR_INSTANCIAS | total=4 | IP=45.164.118.25
[2026-02-21 05:09:42] USER=ruan | ACAO=LISTAR_INSTANCIAS | total=4 | IP=45.164.118.25
[2026-02-21 05:10:10] USER=ruan | ACAO=LISTAR_INSTANCIAS | total=4 | IP=45.164.118.25
[2026-02-21 05:10:12] USER=ruan | ACAO=LISTAR_INSTANCIAS | total=4 | IP=45.164.118.25
[2026-02-21 05:10:42] USER=ruan | ACAO=LISTAR_INSTANCIAS | total=4 | IP=45.164.118.25
[2026-02-21 05:11:12] USER=ruan | ACAO=LISTAR_INSTANCIAS | total=4 | IP=45.164.118.25
[2026-02-21 05:11:42] USER=ruan | ACAO=LISTAR_INSTANCIAS | total=4 | IP=45.164.118.25
[2026-02-21 05:12:12] USER=ruan | ACAO=LISTAR_INSTANCIAS | total=4 | IP=45.164.118.25
[2026-02-21 05:12:26] USER=ruan | ACAO=LOGOUT |  | IP=45.164.118.25
[2026-02-21 05:12:30] USER=admin | ACAO=LOGIN_OK |  | IP=45.164.118.25
[2026-02-21 05:12:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:13:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:13:12] USER=admin | ACAO=DESCONECTAR |  | IP=45.164.118.25
[2026-02-21 05:13:13] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:13:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:13:39] USER=admin | ACAO=RECONECTAR | qr=ok | IP=45.164.118.25
[2026-02-21 05:14:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:14:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:14:54] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:15:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:15:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:16:02] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:16:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:17:02] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:17:32] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:18:02] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:18:32] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:19:02] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:19:38] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:20:02] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:20:32] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:21:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:21:32] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:22:02] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:22:32] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:23:02] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:23:43] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:24:43] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:25:43] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:26:43] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:27:09] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:27:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:28:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:28:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:28:57] USER=Admin | ACAO=LOGIN_FALHOU | usuario inexistente ou inativo | IP=45.164.118.25
[2026-02-21 05:29:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:29:03] USER=admin | ACAO=LOGIN_FALHOU | senha incorreta | IP=45.164.118.25
[2026-02-21 05:29:09] USER=admin | ACAO=LOGIN_OK |  | IP=45.164.118.25
[2026-02-21 05:29:10] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:29:15] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:29:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:29:40] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:30:03] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:30:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:31:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
